id,link,bedrooms,bathrooms,area_m2,price,date,condition,location
P1753033388_0,https://www.fincaraiz.com.co/proyectos-vivienda/cannes-casas-en-venta-en-niza-cucuta/15017406,3 Habs.,3 Baños,103.58 m²,Desde $ 518.000.000,2025-07-20 12:43:08.247894,Proyecto,"Niza, Cúcuta, Norte de santander"
P1753033390_1,https://www.fincaraiz.com.co/casa-en-venta-en-sector-oriental-cucuta/11063814,4 Habs.,5 Baños,300 m²,$ 800.000.000,2025-07-20 12:43:10.087520,Usado,"Sector oriental, Cúcuta, Norte de santander"
P1753033391_2,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192158908,4 Habs.,4 Baños,143 m²,$ 340.000.000,2025-07-20 12:43:11.300263,Usado,"Cúcuta, Norte de santander"
P1753033393_3,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-oriental-cucuta/192158107,1 Habs.,1 Baño,2120 m²,$ 3.500.000.000,2025-07-20 12:43:13.016918,Usado,"Quinta oriental, Cúcuta, Norte de santander"
P1753033394_4,https://www.fincaraiz.com.co/casa-en-venta-en-la-playa-cucuta/192158442,3 Habs.,3 Baños,101 m²,$ 300.000.000,2025-07-20 12:43:14.138974,Usado,"La playa, Cúcuta, Norte de santander"
P1753033395_5,https://www.fincaraiz.com.co/casa-en-venta-en-bocono-villa-del-rosario/192158150,3 Habs.,3 Baños,80 m²,$ 300.000.000,2025-07-20 12:43:15.287719,Usado,"Bocono, Villa del rosario, Norte de santander"
P1753033397_6,https://www.fincaraiz.com.co/casa-en-venta-en-la-riviera-cucuta/192299336,4 Habs.,3 Baños,253 m²,$ 1.250.000.000,2025-07-20 12:43:17.046496,Usado,"La riviera, Cúcuta, Norte de santander"
P1753033398_7,https://www.fincaraiz.com.co/casa-en-venta-en-los-pinos-cucuta/192158416,4 Habs.,5 Baños,180 m²,$ 370.000.000,2025-07-20 12:43:18.817602,Usado,"Los pinos, Cúcuta, Norte de santander"
P1753033399_8,https://www.fincaraiz.com.co/casa-en-venta-en-la-cabrera-cucuta/192158108,3 Habs.,3 Baños,142 m²,$ 270.000.000,2025-07-20 12:43:19.942032,Usado,"La cabrera, Cúcuta, Norte de santander"
P1753033401_9,https://www.fincaraiz.com.co/casa-en-venta-en-san-luis-cucuta/192241501,3 Habs.,4 Baños,101 m²,$ 410.000.000,2025-07-20 12:43:21.841112,Usado,"San luis, Cúcuta, Norte de santander"
P1753033403_10,https://www.fincaraiz.com.co/casa-en-venta-en-los-patios/192159224,7 Habs.,7 Baños,556 m²,$ 2.700.000.000,2025-07-20 12:43:23.734816,Usado,"Los patios, Norte de santander"
